2025-04-07 00:28:30.359 | ID: 84 | Cor: AZUL | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 20
2025-04-07 00:28:30.359 | ID: 81 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 2 | Posição na Esteira da Fábrica: 2 | Loja: Loja-1 | Posição na Esteira da Loja: 17
2025-04-07 00:28:30.560 | ID: 85 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 19
2025-04-07 00:28:30.860 | ID: 89 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 19
2025-04-07 00:28:30.861 | ID: 90 | Cor: AZUL | Tipo: SUV | Estação: 2 | Funcionário: 2 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 17
2025-04-07 00:28:30.861 | ID: 87 | Cor: AZUL | Tipo: SEDAN | Estação: 3 | Funcionário: 4 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 19
2025-04-07 00:28:31.062 | ID: 86 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 19
2025-04-07 00:28:31.362 | ID: 91 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 17
2025-04-07 00:28:31.364 | ID: 88 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 1 | Posição na Esteira da Fábrica: 2 | Loja: Loja-3 | Posição na Esteira da Loja: 18
2025-04-07 00:28:31.364 | ID: 92 | Cor: VERDE | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 20
2025-04-07 00:28:31.864 | ID: 97 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 16
2025-04-07 00:28:31.865 | ID: 94 | Cor: VERMELHO | Tipo: SUV | Estação: 2 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-3 | Posição na Esteira da Loja: 18
2025-04-07 00:28:31.866 | ID: 95 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 5 | Posição na Esteira da Fábrica: 1 | Loja: Loja-2 | Posição na Esteira da Loja: 20
2025-04-07 00:28:32.066 | ID: 93 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 3 | Posição na Esteira da Fábrica: 1 | Loja: Loja-1 | Posição na Esteira da Loja: 15
