2025-04-07 00:28:35.296 | ID: 124 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:35.374 | ID: 125 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 2 | Posição na Esteira: 2
2025-04-07 00:28:35.392 | ID: 126 | Cor: AZUL | Tipo: SUV | Estação: 1 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:35.421 | ID: 127 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 5 | Posição na Esteira: 2
2025-04-07 00:28:35.594 | ID: 128 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:35.635 | ID: 129 | Cor: AZUL | Tipo: SEDAN | Estação: 2 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:35.744 | ID: 130 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:35.851 | ID: 131 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:36.254 | ID: 132 | Cor: AZUL | Tipo: SUV | Estação: 4 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:36.311 | ID: 133 | Cor: VERMELHO | Tipo: SEDAN | Estação: 3 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:36.374 | ID: 134 | Cor: VERDE | Tipo: SUV | Estação: 3 | Funcionário: 4 | Posição na Esteira: 3
2025-04-07 00:28:36.438 | ID: 135 | Cor: AZUL | Tipo: SEDAN | Estação: 1 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:36.465 | ID: 136 | Cor: VERMELHO | Tipo: SUV | Estação: 4 | Funcionário: 3 | Posição na Esteira: 1
2025-04-07 00:28:36.631 | ID: 137 | Cor: VERDE | Tipo: SEDAN | Estação: 2 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:36.756 | ID: 138 | Cor: AZUL | Tipo: SUV | Estação: 2 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:36.804 | ID: 139 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:37.246 | ID: 140 | Cor: VERDE | Tipo: SUV | Estação: 3 | Funcionário: 4 | Posição na Esteira: 2
2025-04-07 00:28:37.266 | ID: 141 | Cor: AZUL | Tipo: SEDAN | Estação: 4 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:37.338 | ID: 142 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 2 | Posição na Esteira: 3
2025-04-07 00:28:37.387 | ID: 143 | Cor: VERDE | Tipo: SEDAN | Estação: 1 | Funcionário: 1 | Posição na Esteira: 1
2025-04-07 00:28:37.399 | ID: 144 | Cor: AZUL | Tipo: SUV | Estação: 4 | Funcionário: 5 | Posição na Esteira: 1
2025-04-07 00:28:37.655 | ID: 145 | Cor: VERMELHO | Tipo: SEDAN | Estação: 1 | Funcionário: 3 | Posição na Esteira: 2
2025-04-07 00:28:37.727 | ID: 146 | Cor: VERDE | Tipo: SUV | Estação: 2 | Funcionário: 4 | Posição na Esteira: 1
2025-04-07 00:28:37.737 | ID: 147 | Cor: AZUL | Tipo: SEDAN | Estação: 2 | Funcionário: 1 | Posição na Esteira: 2
2025-04-07 00:28:38.177 | ID: 148 | Cor: VERMELHO | Tipo: SUV | Estação: 3 | Funcionário: 5 | Posição na Esteira: 2
2025-04-07 00:28:38.358 | ID: 149 | Cor: VERDE | Tipo: SEDAN | Estação: 3 | Funcionário: 3 | Posição na Esteira: 3
2025-04-07 00:28:38.461 | ID: 150 | Cor: AZUL | Tipo: SUV | Estação: 4 | Funcionário: 2 | Posição na Esteira: 1
2025-04-07 00:28:38.528 | ID: 151 | Cor: VERMELHO | Tipo: SEDAN | Estação: 4 | Funcionário: 5 | Posição na Esteira: 2
